timestamp,user_id,action
2025-05-24T04:01:13.038183Z,user9,scroll
2025-05-24T04:36:36.038183Z,user5,view
2025-05-24T04:06:09.038183Z,user1,purchase
2025-05-24T04:09:16.038183Z,user3,click
2025-05-24T04:10:02.038183Z,user3,view
2025-05-24T04:08:25.038183Z,user7,view
2025-05-24T04:23:13.038183Z,user4,click
2025-05-24T04:29:23.038183Z,user6,scroll
2025-05-24T03:57:35.038183Z,user1,purchase
2025-05-24T04:05:14.038183Z,user5,click
2025-05-24T04:53:35.038183Z,user10,purchase
2025-05-24T04:37:38.038183Z,user2,scroll
2025-05-24T04:20:27.038183Z,user5,scroll
2025-05-24T04:14:44.038183Z,user9,purchase
2025-05-24T04:23:55.038183Z,user7,view
2025-05-24T04:08:07.038183Z,user4,scroll
2025-05-24T04:12:17.038183Z,user7,purchase
2025-05-24T04:19:41.038183Z,user9,purchase
2025-05-24T04:01:49.038183Z,user9,scroll
2025-05-24T04:12:29.038183Z,user9,scroll
2025-05-24T04:15:03.038183Z,user5,purchase
2025-05-24T04:56:56.038183Z,user4,click
2025-05-24T04:17:56.038183Z,user4,view
2025-05-24T03:59:13.038183Z,user1,click
2025-05-24T04:46:26.038183Z,user4,click
2025-05-24T04:41:44.038183Z,user9,purchase
2025-05-24T04:28:42.038183Z,user10,click
2025-05-24T04:08:57.038183Z,user1,purchase
2025-05-24T04:19:07.038183Z,user8,purchase
2025-05-24T04:46:13.038183Z,user4,purchase
2025-05-24T04:40:07.038183Z,user8,view
2025-05-24T04:05:03.038183Z,user8,purchase
2025-05-24T04:05:05.038183Z,user6,click
2025-05-24T04:05:03.038183Z,user2,scroll
2025-05-24T04:17:08.038183Z,user2,scroll
2025-05-24T04:51:48.038183Z,user6,view
2025-05-24T04:15:31.038183Z,user3,purchase
2025-05-24T04:13:30.038183Z,user5,view
2025-05-24T04:22:11.038183Z,user3,purchase
2025-05-24T04:43:39.038183Z,user4,scroll
2025-05-24T04:41:48.038183Z,user3,scroll
2025-05-24T04:36:10.038183Z,user1,purchase
2025-05-24T04:03:31.038183Z,user10,purchase
2025-05-24T04:23:36.038183Z,user2,view
2025-05-24T03:57:34.038183Z,user9,purchase
2025-05-24T04:37:09.038183Z,user5,scroll
2025-05-24T04:49:33.038183Z,user5,purchase
2025-05-24T04:46:18.038183Z,user7,purchase
2025-05-24T04:48:41.038183Z,user1,view
2025-05-24T04:33:32.038183Z,user7,view
2025-05-24T04:17:50.038183Z,user3,scroll
2025-05-24T04:53:09.038183Z,user2,view
2025-05-24T04:51:13.038183Z,user4,purchase
2025-05-24T04:14:46.038183Z,user8,click
2025-05-24T04:06:56.038183Z,user6,click
2025-05-24T04:21:41.038183Z,user1,click
2025-05-24T03:58:50.038183Z,user7,view
2025-05-24T04:04:40.038183Z,user3,scroll
2025-05-24T04:51:53.038183Z,user10,click
2025-05-24T04:11:03.038183Z,user1,click
2025-05-24T04:01:01.038183Z,user10,purchase
2025-05-24T04:36:54.038183Z,user4,click
2025-05-24T04:49:24.038183Z,user4,view
2025-05-24T04:21:32.038183Z,user6,scroll
2025-05-24T04:29:59.038183Z,user2,view
2025-05-24T04:14:41.038183Z,user5,purchase
2025-05-24T04:21:28.038183Z,user7,click
2025-05-24T04:33:01.038183Z,user2,purchase
2025-05-24T04:29:10.038183Z,user5,click
2025-05-24T03:59:22.038183Z,user1,purchase
2025-05-24T04:15:54.038183Z,user8,purchase
2025-05-24T04:10:10.038183Z,user10,click
2025-05-24T04:23:55.038183Z,user8,scroll
2025-05-24T04:41:29.038183Z,user6,view
2025-05-24T04:31:25.038183Z,user9,scroll
2025-05-24T04:04:50.038183Z,user1,scroll
2025-05-24T03:59:25.038183Z,user6,scroll
2025-05-24T04:23:40.038183Z,user5,scroll
2025-05-24T04:13:18.038183Z,user3,scroll
2025-05-24T04:04:33.038183Z,user6,scroll
2025-05-24T04:34:54.038183Z,user2,view
2025-05-24T04:12:07.038183Z,user3,view
2025-05-24T04:13:57.038183Z,user6,purchase
2025-05-24T04:20:25.038183Z,user2,purchase
2025-05-24T04:36:38.038183Z,user1,scroll
2025-05-24T04:56:03.038183Z,user6,purchase
2025-05-24T04:03:50.038183Z,user3,click
2025-05-24T04:44:11.038183Z,user4,purchase
2025-05-24T04:35:48.038183Z,user7,click
2025-05-24T04:27:09.038183Z,user2,scroll
2025-05-24T04:22:32.038183Z,user9,purchase
2025-05-24T04:36:07.038183Z,user8,scroll
2025-05-24T04:22:09.038183Z,user3,view
2025-05-24T04:35:17.038183Z,user3,click
2025-05-24T04:01:33.038183Z,user3,view
2025-05-24T04:35:02.038183Z,user7,scroll
2025-05-24T04:40:19.038183Z,user4,purchase
2025-05-24T04:16:48.038183Z,user10,click
2025-05-24T04:25:55.038183Z,user9,click
2025-05-24T04:41:19.038183Z,user10,purchase
2025-05-24T04:16:26.038183Z,user9,scroll
2025-05-24T04:13:41.038183Z,user8,click
2025-05-24T04:44:29.038183Z,user5,scroll
2025-05-24T04:36:08.038183Z,user3,purchase
2025-05-24T04:20:39.038183Z,user6,click
2025-05-24T04:02:17.038183Z,user2,scroll
2025-05-24T04:55:21.038183Z,user1,purchase
2025-05-24T04:21:41.038183Z,user9,scroll
2025-05-24T04:48:21.038183Z,user4,purchase
2025-05-24T04:48:59.038183Z,user1,click
2025-05-24T04:19:32.038183Z,user9,scroll
2025-05-24T04:33:43.038183Z,user4,scroll
2025-05-24T04:51:48.038183Z,user5,purchase
2025-05-24T04:55:52.038183Z,user6,scroll
2025-05-24T04:42:21.038183Z,user6,purchase
2025-05-24T04:42:35.038183Z,user6,scroll
2025-05-24T04:55:38.038183Z,user1,click
2025-05-24T04:09:36.038183Z,user5,click
2025-05-24T04:36:27.038183Z,user6,purchase
2025-05-24T04:09:02.038183Z,user2,scroll
2025-05-24T04:15:42.038183Z,user10,scroll
2025-05-24T04:56:58.038183Z,user8,scroll
2025-05-24T04:47:23.038183Z,user6,purchase
2025-05-24T04:02:00.038183Z,user3,purchase
2025-05-24T04:06:02.038183Z,user10,click
2025-05-24T04:47:33.038183Z,user9,purchase
2025-05-24T04:25:12.038183Z,user7,scroll
2025-05-24T04:38:26.038183Z,user2,view
2025-05-24T04:10:02.038183Z,user6,purchase
2025-05-24T04:53:55.038183Z,user4,view
2025-05-24T04:22:54.038183Z,user6,scroll
2025-05-24T04:53:41.038183Z,user7,purchase
2025-05-24T04:56:36.038183Z,user6,click
2025-05-24T04:49:26.038183Z,user6,scroll
2025-05-24T04:02:09.038183Z,user5,purchase
2025-05-24T04:17:44.038183Z,user2,view
2025-05-24T04:06:36.038183Z,user7,purchase
2025-05-24T04:34:32.038183Z,user2,scroll
2025-05-24T04:45:33.038183Z,user10,scroll
2025-05-24T04:41:28.038183Z,user9,purchase
